SERVNO,Request Date,Resolved Date,AddrType,Address,CrossStreet,GraffitiType,GraffitiMoniker,GraffitiMoniker2,GraffitiMoniker3,Latitude,Longitude
1483,01/30/2007 12:00:00 AM,02/13/2007 12:00:00 AM,I,    LOOMIS ST ROCKFORD IL 61102,  SANFORD ST ROCKFORD IL 61102,Gang, ,,,42.2617,-89.1108
1485,01/19/2007 12:00:00 AM,04/24/2007 12:00:00 AM,I,    DEMPSTER AVE ROCKFORD IL 61108,  LEXINGTON WAY ROCKFORD IL 61108,Gang, ,,,42.2568,-89.0327
1493,01/22/2007 12:00:00 AM,01/24/2007 12:00:00 AM,I,    6TH AVE ROCKFORD IL 61104,  18TH ST ROCKFORD IL 61104,Gang, ,,,42.2605,-89.0619
1494,01/22/2007 12:00:00 AM,03/22/2007 12:00:00 AM,I,    11TH ST ROCKFORD IL 61104,  12TH AVE ROCKFORD IL 61104,Gang, ,,,42.2542,-89.072
1501,01/22/2007 12:00:00 AM,03/15/2007 12:00:00 AM,I,    5TH AVE ROCKFORD IL 61104,  12TH ST ROCKFORD IL 61104,Gang, ,,,42.2616,-89.0707
1504,01/22/2007 12:00:00 AM,03/29/2007 12:00:00 AM,I,    6TH AVE ROCKFORD IL 61104,  13TH ST ROCKFORD IL 61104,, ,,,42.2605,-89.0679
1506,01/22/2007 12:00:00 AM,01/22/2007 12:00:00 AM,I,    5TH AVE ROCKFORD IL 61104,  12TH ST ROCKFORD IL 61104,, ,,,42.2616,-89.0707
1516,01/22/2007 12:00:00 AM,01/15/2006 12:00:00 AM,I,    LOOMIS ST ROCKFORD IL 61101,  LOOMIS ST ROCKFORD IL 61101,, ,,,42.2609,-89.1006
1521,01/23/2007 12:00:00 AM,05/01/2007 12:00:00 AM,I,    FITCH RD ROCKFORD IL 61109,  KISHWAUKEE ST ROCKFORD IL 61109,Gang, ,,,42.2293,-89.0869
1524,01/23/2007 12:00:00 AM,01/23/2007 12:00:00 AM,I,    BROOKE RD ROCKFORD IL 61109,  KISHWAUKEE ST ROCKFORD IL 61109,, ,,,42.2303,-89.0869
1532,01/23/2007 12:00:00 AM,01/23/2007 12:00:00 AM,I,    6TH AVE ROCKFORD IL 61104,  12TH ST ROCKFORD IL 61104,, ,,,42.2605,-89.0707
1538,01/24/2007 12:00:00 AM,01/24/2007 12:00:00 AM,I,    18TH AVE ROCKFORD IL 61104,  WOODRUFF AVE ROCKFORD IL 61104,, ,,,42.249,-89.06
1546,01/24/2007 12:00:00 AM,03/13/2007 12:00:00 AM,I,    LOOMIS ST ROCKFORD IL 61102,S WINNEBAGO ST ROCKFORD IL 61102,Gang, ,,,42.2613,-89.1049
1553,01/25/2007 12:00:00 AM,03/12/2007 12:00:00 AM,I,    CORBIN ST ROCKFORD IL 61102,  MONTAGUE ST ROCKFORD IL 61102,, ,,,42.2594,-89.1097
1554,01/25/2007 12:00:00 AM,01/25/2007 12:00:00 AM,I,    LOOMIS ST ROCKFORD IL 61102,  SANFORD ST ROCKFORD IL 61102,, ,,,42.2617,-89.1108
1555,01/25/2007 12:00:00 AM,01/25/2007 12:00:00 AM,I,    LOOMIS ST ROCKFORD IL 61102,  SANFORD ST ROCKFORD IL 61102,, ,,,42.2617,-89.1108
1557,01/25/2007 12:00:00 AM,01/25/2007 12:00:00 AM,I,    CEDAR ST ROCKFORD IL 61101,S MAIN ST ROCKFORD IL 61101,, ,,,42.2676,-89.0972
1564,01/25/2007 12:00:00 AM,03/27/2007 12:00:00 AM,I,    ALPINE RD ROCKFORD IL 61109,S ALPINE RD ROCKFORD IL 61109,Other, ,,,42.2166,-89.0286
1577,01/25/2007 12:00:00 AM,11/07/2007 12:00:00 AM,I,    10TH ST ROCKFORD IL 61104,  18TH AVE ROCKFORD IL 61104,Hip Hop,STER,,,42.2479,-89.0754
1590,01/26/2007 12:00:00 AM,01/26/2007 12:00:00 AM,I,    23RD ST ROCKFORD IL 61108,  BROADWAY   ROCKFORD IL 61108,, ,,,42.2525,-89.0534
